Timestamp,Date,Location,Category,Spent,Received,Budget,Purchased By,Item For
12/9/2017 14:28:27,"Nov 23, 2017",Concord Coffee,Gifting,16.93,0.00,0.00,Anna,Anna
12/9/2017 14:27:05,"Nov 21, 2017",Audible,Anna's Fun/Extras,16.46,0.00,0.00,Anna,Anna
12/9/2017 14:27:29,"Nov 21, 2017",Starbucks,Out to Eat,10.00,0.00,0.00,Anna,Anna
11/21/2017 7:01:40,"Nov 20, 2017",Starbucks,Out to Eat,10.00,0.00,0.00,Anna,Anna
12/9/2017 14:26:39,"Nov 20, 2017",Barnes & Nobel,Anna's Fun/Extras,22.01,0.00,0.00,Anna,Anna
12/9/2017 14:25:50,"Nov 18, 2017",Ticketbud,Anna's Fun/Extras,11.48,0.00,0.00,Anna,Anna
12/9/2017 14:24:44,"Nov 17, 2017",1-800-PETMEDS,Dog,109.64,0.00,0.00,Anna,Anna
12/9/2017 14:25:15,"Nov 17, 2017",Cedar River Animal Hospital,Dog,55.00,0.00,0.00,Anna,Anna
11/16/2017 10:20:37,"Nov 16, 2017",Animal Dermatology Services,Dog,284.15,0.00,0.00,Anna,Anna
11/16/2017 22:47:07,"Nov 16, 2017",Rite Aid,Prescriptions,3.89,0.00,0.00,Anna,Anna
12/9/2017 14:22:52,"Nov 15, 2017",Seattle Animal Licensing,Dog,35.00,0.00,0.00,Anna,Anna
12/9/2017 14:23:47,"Nov 15, 2017",Washington Vehicle Licensing,Licensing Tabs,313.00,0.00,0.00,Anna,Anna
11/15/2017 13:15:26,"Nov 14, 2017",QFC Fuel,Gas,38.14,0.00,0.00,Anna,Anna
11/15/2017 13:17:08,"Nov 13, 2017",Amazon Fresh,Groceries,57.48,0.00,0.00,Tyler,Tyler
11/15/2017 12:51:20,"Nov 12, 2017",Trader Joe's,Groceries,99.11,0.00,0.00,Anna,Anna
11/15/2017 13:14:57,"Nov 11, 2017",Walgreens,Groceries,17.59,0.00,0.00,Anna,Anna
11/15/2017 13:18:34,"Nov 11, 2017",Posh Paws Grooming,Dog,5.00,0.00,0.00,Anna,Anna
11/15/2017 12:50:50,"Nov 10, 2017",Cedar River Animal Hospital,Dog,44.23,0.00,0.00,Anna,Anna
11/15/2017 12:45:06,"Nov 5, 2017",Amazon Fresh,Groceries,54.97,0.00,0.00,Anna,Anna
11/15/2017 12:47:08,"Nov 5, 2017",Costco,Gifting,9.84,0.00,0.00,Anna,Anna
11/15/2017 12:47:37,"Nov 5, 2017",Costco,Clothing,14.29,0.00,0.00,Anna,Anna
11/15/2017 12:48:27,"Nov 5, 2017",Costco,Groceries,54.00,0.00,0.00,Anna,Anna
11/15/2017 12:49:08,"Nov 5, 2017",Salt & Iron,Out to Eat,17.00,0.00,0.00,Anna,Anna
11/15/2017 12:40:50,"Nov 4, 2017",Rite Aid,Prescriptions,14.27,0.00,0.00,Anna,Anna
11/15/2017 12:43:22,"Nov 4, 2017",QFC Fuel,Gas,30.48,0.00,0.00,Anna,Anna
11/15/2017 12:39:30,"Nov 3, 2017",Chewy,Dog,61.27,0.00,0.00,Anna,Anna
11/15/2017 12:34:25,"Nov 2, 2017",Seattle City Light,Utilities,78.71,0.00,0.00,Both,Both
11/15/2017 12:34:56,"Nov 2, 2017",Guardian Water,Utilities,86.51,0.00,0.00,Both,Both
11/15/2017 12:35:39,"Nov 2, 2017",Uptown Espresso,Out to Eat,5.34,0.00,0.00,Anna,Anna
11/15/2017 12:36:18,"Nov 2, 2017",Bartell Drugs,Groceries,13.75,0.00,0.00,Anna,Anna
11/1/2017 19:36:34,"Oct 31, 2017",Headspace,Anna's Fun/Extras,20.00,0.00,0.00,Anna,Anna
11/1/2017 19:37:43,"Oct 31, 2017",Great Harvest,Groceries,6.95,0.00,0.00,Anna,Anna
11/1/2017 19:38:12,"Oct 31, 2017",Albertsons,Groceries,1.99,0.00,0.00,Anna,Anna
11/1/2017 19:34:48,"Oct 29, 2017",Eastlake Bar & Grill,Out to Eat,18.00,0.00,0.00,Anna,Anna
11/1/2017 19:36:01,"Oct 29, 2017",Amazon Fresh,Groceries,63.37,0.00,0.00,Tyler,Tyler
10/25/2017 15:26:12,"Oct 25, 2017",Zoka,Out to Eat,5.33,0.00,0.00,Anna,Anna
10/25/2017 15:27:45,"Oct 25, 2017",Joey’s,Out to Eat,22.00,0.00,0.00,Anna,Anna
10/25/2017 15:55:47,"Oct 25, 2017",Rite Aid,Prescriptions,3.89,0.00,0.00,Anna,Anna
10/25/2017 15:56:40,"Oct 25, 2017",Office Depot,Office,0.00,8.58,0.00,Anna,Anna
11/15/2017 12:30:34,"Oct 25, 2017",Lara Casey Shop,Anna's Fun/Extras,83.10,0.00,0.00,Anna,Anna
10/23/2017 11:24:19,"Oct 23, 2017",Office Depot,Office,20.91,0.00,0.00,Anna,Anna
10/24/2017 19:43:30,"Oct 22, 2017",Amazon Fresh,Groceries,54.49,0.00,0.00,Anna,Anna
10/24/2017 19:42:43,"Oct 20, 2017",KAD,Anna's Fun/Extras,24.90,0.00,0.00,Anna,Anna
10/24/2017 19:42:13,"Oct 19, 2017",Costco,Costco,220.74,0.00,0.00,Anna,Anna
11/1/2017 19:41:31,"Oct 19, 2017",Nordstrom,Gifting,33.03,0.00,0.00,Anna,Anna
10/16/2017 18:26:37,"Oct 16, 2017",Rite Aid,Prescriptions,12.98,0.00,0.00,Anna,Anna
10/24/2017 19:46:29,"Oct 16, 2017",Amazon Fresh,Groceries,96.68,0.00,0.00,Tyler,Tyler
10/16/2017 18:21:18,"Oct 14, 2017",BJ’s,Out to Eat,16.00,0.00,0.00,Anna,Anna
10/24/2017 19:40:44,"Oct 14, 2017",Starbucks,Out to Eat,10.00,0.00,0.00,Anna,Anna
10/24/2017 19:40:26,"Oct 12, 2017",Target,Anna's Fun/Extras,25.68,0.00,0.00,Anna,Anna
10/24/2017 19:38:08,"Oct 9, 2017",Amazon Fresh,Groceries,105.48,0.00,0.00,Anna,Anna
10/24/2017 19:38:43,"Oct 9, 2017",QFC Fuel,Gas,31.13,0.00,0.00,Anna,Anna
10/24/2017 19:39:14,"Oct 9, 2017",Wild For Planners,Anna's Fun/Extras,21.97,0.00,0.00,Anna,Anna
10/7/2017 10:50:12,"Oct 7, 2017",Portage Bay Cafe,Out to Eat,18.00,0.00,0.00,Anna,Anna
10/6/2017 12:18:55,"Oct 6, 2017",Zoka,Out to Eat,3.30,0.00,0.00,Anna,Anna
10/6/2017 13:26:58,"Oct 6, 2017",Zoka,Out to Eat,8.53,0.00,0.00,Anna,Anna
10/24/2017 19:34:06,"Oct 5, 2017",Seattle Sunshine Coffee,Out to Eat,4.95,0.00,0.00,Anna,Anna
10/4/2017 13:22:37,"Oct 4, 2017",Evergreens,Out to Eat,9.91,0.00,0.00,Anna,Anna
10/24/2017 19:33:04,"Oct 4, 2017",BECU,Fees,25.00,0.00,0.00,Anna,Anna
10/3/2017 17:53:30,"Oct 3, 2017",Radford Court Apartments,Rent,"1,861.50",0.00,0.00,Anna,Both
10/3/2017 17:56:31,"Oct 3, 2017",Guardian Water,Utilities,71.08,0.00,0.00,Anna,Both
10/4/2017 9:59:00,"Oct 3, 2017",QFC,Groceries,51.27,0.00,0.00,Tyler,Tyler
10/4/2017 9:59:44,"Oct 3, 2017",Bartell Drugs,Groceries,5.49,0.00,0.00,Anna,Anna
10/24/2017 19:45:28,"Oct 3, 2017",Amazon Fresh,Groceries,59.23,0.00,0.00,Tyler,Tyler
9/28/2017 16:58:55,"Sep 28, 2017",Posh Paws Grooming,Dog,5.00,0.00,0.00,Tyler,Tyler
10/3/2017 17:36:12,"Sep 28, 2017",Austin Airport,Out to Eat,4.43,0.00,0.00,Anna,Anna
9/26/2017 14:28:49,"Sep 26, 2017",Rite Aid,Prescriptions,3.89,0.00,0.00,Anna,Anna
9/26/2017 14:29:25,"Sep 26, 2017",Standfords,Out to Eat,25.00,0.00,0.00,Anna,Anna
9/23/2017 13:33:46,"Sep 23, 2017",Farmers Market,Groceries,22.50,0.00,0.00,Anna,Anna
9/23/2017 13:34:46,"Sep 23, 2017",QFC,Groceries,1.25,0.00,0.00,Anna,Anna
10/3/2017 17:33:06,"Sep 23, 2017",Amazon Fresh,Groceries,86.56,0.00,0.00,Anna,Anna
9/22/2017 19:15:07,"Sep 22, 2017",QFC Fuel,Gas,41.85,0.00,0.00,Anna,Anna
9/23/2017 13:53:16,"Sep 22, 2017",Jet City Pizza,Out to Eat,20.08,0.00,0.00,Tyler,Tyler
10/3/2017 17:34:49,"Sep 22, 2017",Chewy,Dog,67.20,0.00,0.00,Anna,Anna
9/25/2017 16:07:06,"Sep 19, 2017",Hi Life,Out to Eat,28.00,0.00,0.00,Anna,Anna
9/17/2017 17:14:47,"Sep 17, 2017",Bellewood Acres,Groceries,24.00,0.00,0.00,Anna,Anna
9/17/2017 17:15:22,"Sep 17, 2017",QFC,Groceries,21.37,0.00,0.00,Anna,Tyler
9/16/2017 9:53:41,"Sep 16, 2017",Metropolitan Market,Groceries,22.39,0.00,0.00,Anna,Anna
10/3/2017 17:33:53,"Sep 16, 2017",Amazon Fresh,Groceries,83.09,0.00,0.00,Tyler,Tyler
10/3/2017 17:38:07,"Sep 15, 2017",Starbucks,Out to Eat,10.00,0.00,0.00,Anna,Anna
9/13/2017 18:40:01,"Sep 13, 2017",Rite Aid,Prescriptions,13.57,0.00,0.00,Anna,Anna
9/13/2017 19:02:47,"Sep 13, 2017",Chipotle,Out to Eat,20.15,0.00,0.00,Anna,Anna
9/12/2017 8:07:14,"Sep 12, 2017",QFC,Groceries,12.00,0.00,0.00,Anna,Anna
9/11/2017 20:45:02,"Sep 11, 2017",Whole Foods,Out to Eat,7.19,0.00,0.00,Anna,Anna
9/11/2017 20:40:25,"Sep 10, 2017",QFC,Groceries,4.99,0.00,0.00,Anna,Anna
9/11/2017 20:43:44,"Sep 10, 2017",Amazon Fresh,Groceries,83.53,0.00,0.00,Anna,Anna
10/24/2017 19:24:38,"Sep 10, 2017",Seattle City Light,Utilities,74.21,0.00,0.00,Both,Both
9/11/2017 20:45:57,"Sep 9, 2017",QFC Fuel,Gas,39.48,0.00,0.00,Anna,Anna
9/11/2017 20:47:44,"Sep 9, 2017",QFC,Groceries,13.16,0.00,0.00,Anna,Anna
9/11/2017 20:48:07,"Sep 9, 2017",QFC,Groceries,9.82,0.00,0.00,Anna,Anna
9/11/2017 20:48:39,"Sep 9, 2017",Trader Joe's,Groceries,48.00,0.00,0.00,Anna,Anna
10/3/2017 17:39:31,"Sep 9, 2017",Rutherford Ranch,Extras,125.40,0.00,0.00,Anna,Anna
10/3/2017 17:41:02,"Sep 9, 2017",Audible,Anna's Fun/Extras,16.46,0.00,0.00,Anna,Anna
10/24/2017 19:22:17,"Sep 8, 2017",Starbucks,Out to Eat,10.00,0.00,0.00,Anna,Anna
10/3/2017 17:43:49,"Sep 7, 2017",Etsy,Anna's Fun/Extras,30.20,0.00,0.00,Anna,Anna
10/3/2017 17:45:10,"Sep 7, 2017",Nordstrom,Gifting,24.22,0.00,0.00,Anna,Anna
9/6/2017 13:26:40,"Sep 6, 2017",Starbucks,Out to Eat,13.10,0.00,0.00,Anna,Anna
9/6/2017 20:45:13,"Sep 6, 2017",Jet City Pizza,Out to Eat,24.47,0.00,0.00,Anna,Anna
10/24/2017 19:24:06,"Sep 5, 2017",Guardian Water,Utilities,77.04,0.00,0.00,Both,Both
9/4/2017 12:48:03,"Sep 4, 2017",Amazon Fresh,Groceries,0.00,1.89,0.00,Tyler,Tyler
9/4/2017 17:41:59,"Sep 4, 2017",Metropolitan Market ,Groceries,56.22,0.00,0.00,Tyler,Tyler
10/24/2017 19:20:14,"Sep 4, 2017",Radford Court Apartments,Rent,"1,826.50",0.00,0.00,Both,Both
9/3/2017 17:48:09,"Sep 3, 2017",Amazon Fresh,Groceries,43.31,0.00,0.00,Tyler,Tyler
9/11/2017 20:46:35,"Sep 3, 2017",Spuds,Out to Eat,23.57,0.00,0.00,Anna,Anna
10/24/2017 19:17:29,"Sep 3, 2017",Pung Kang Noodle,Out to Eat,10.13,0.00,0.00,Anna,Anna
8/29/2017 18:06:10,"Aug 28, 2017",Amazon Fresh,Groceries,76.19,0.00,0.00,Anna,Anna
